name,email,niche,city,country,instagram,website,contactperson,contactrole
Substation Brixton,brixton@substation.co.uk,bouldering-gym,London,GB,,brixton.substation.co.uk,Beth,owner
City Bouldering (4 London sites),aldgate@citybouldering.co.uk,bouldering-gym,London,GB,@aldgatecitybouldering,citybouldering.co.uk,,owner
Climbing District London — Stronghold (2 sites),,bouldering-gym,London,GB,@climbingdistrictlondon,climbingdistrict.uk,,owner
London Climbing Centres — VauxWall,,bouldering-gym,London,GB,@londonclimbingcentres,londonclimbingcentres.co.uk,,owner
The Castle Climbing Centre,info@castle-climbing.co.uk,bouldering-gym,London,GB,@thecastleclimbingcentre,castle-climbing.co.uk,,owner
Mile End Climbing Wall,,bouldering-gym,London,GB,,mileendwall.org.uk,,manager
Climbing Gym Sen,,bouldering-gym,London,GB,@climbing_gym_sen,climbinggymsen.co.uk,,owner
Karma La Villette,karma@ffme.fr,bouldering-gym,Paris,FR,@karma_lavillette,karma-escalade.fr,,manager
Climbing District (6 Paris sites),contact@climbingdistrict.com,bouldering-gym,Paris,FR,@climbingdistrict,climbingdistrict.com,,owner
Climb Up Porte d'Italie,,bouldering-gym,Paris,FR,@climb_up_paris,paris-porteditalie.climb-up.fr,,manager
Vertical World,contact@vertical-world.fr,bouldering-gym,Paris,FR,@verticalworldparis,vertical-world.fr,,owner
Climb World,,bouldering-gym,Paris,FR,@climbworldparis,climb-world.fr,,owner
Le Triangle,letrianglebercy@gmail.com,bouldering-gym,Paris,FR,@letrianglebercy,letriangle.net,,owner
Boulderklub Kreuzberg,info@boulderklub.de,bouldering-gym,Berlin,DE,@boulderklub_kreuzberg,boulderklub.de,,owner
Südbloc Boulderhalle,,bouldering-gym,Berlin,DE,,südbloc.de,,owner
Ostbloc Boulderhalle,,bouldering-gym,Berlin,DE,,ostbloc.de,,owner
Magic Mountain,info@magicmountain.de,bouldering-gym,Berlin,DE,@magicmountainberlin,magicmountain.de,,owner
Der Kegel,info@derkegel.de,bouldering-gym,Berlin,DE,@derkegel,derkegel.de,,owner
urban apes (12+ DE sites),fhain@urbanapes.de,bouldering-gym,Berlin,DE,@urbanapes,urbanapes.de,,HQ
Elektra Boulderhalle,hallo@daselektra.de,bouldering-gym,Berlin,DE,@das_elektra,daselektra.de,,owner
Berta Block,info@bertablock.de,bouldering-gym,Berlin,DE,@bertablockboulderhalle,bertablock.de,,owner
LUCA Boutique Wellness,info@luca-amsterdam.nl,sauna-studio,Amsterdam,NL,@amsterdam.luca,luca-amsterdam.nl,,owner
Badhus Sauna Noord,hello@badhus-amsterdam.nl,sauna-studio,Amsterdam,NL,@badhus_ams,badhus-amsterdam.nl,Julie,owner
Soak Urban Wellness,info@soakurbanwellness.nl,sauna-studio,Amsterdam,NL,@soakurbanwellness,soakurbanwellness.nl,,owner
Heat Lab saunagus,,sauna-studio,Amsterdam,NL,@heatlab.nl,heat-lab.nl,,owner
Yskamer Sauna & Ice Bath,amsterdam@yskamer.nl,sauna-studio,Amsterdam,NL,@yskamer.amsterdam,yskamer.nl,,owner
Sauna Deco,info@saunadeco.nl,sauna-studio,Amsterdam,NL,,saunadeco.nl,,owner
Warm Hearts Sauna,warmheartssauna@gmail.com,sauna-studio,Amsterdam,NL,@warmheartssauna,warmheartssauna.com,,owner
Badhuis & Sauna Da Costa,,sauna-studio,Amsterdam,NL,,badhuisdacosta.eu,,owner
Sauna Nieuwezijds,,sauna-studio,Amsterdam,NL,,saunanz.nl,,owner
Arch Golf,info@archgolf.co.uk,golf-sim-lounge,London,GB,@archgolfuk,archgolf.co.uk,,owner
Pitch Soho,enquiries@pitchldn.co.uk,golf-sim-lounge,London,GB,@pitchlondon,london.pitchgolf.com,,owner
Fairways London,info@fairways-london.co.uk,golf-sim-lounge,London,GB,@fairwayslondon,fairways-london.co.uk,,owner
Scratch Golf,hello@scratchgolf.com,golf-sim-lounge,London,GB,@scratch_golf_uk,scratchgolf.com,,owner
The City Golf Club,info@thecitygc.com,golf-sim-lounge,London,GB,@thecitygolfclub,thecitygc.com,,owner
Tee Box St.Paul's,,golf-sim-lounge,London,GB,@teeboxlondon,tee-box.co.uk,,owner
Urban Golf,bookings@urbangolf.co.uk,golf-sim-lounge,London,GB,@urban_golf,urbangolf.co.uk,Sam Rich,owner
Hackney Links,hackney@citygolflinks.com,golf-sim-lounge,London,GB,@hackneylinks,hackneylinks.com,,owner
Matchasome (2 Berlin cafés),info@matchasome.com,matcha-cafe,Berlin,DE,@matchasome,matchasome.com,,owner
Maxim Cafe&Matcha,cafemaxim1@icloud.com,matcha-cafe,Berlin,DE,@maximcafe01,maxim-cafe.com,,owner
KASUTEIRA (KERB Berlin),berlinevents@kerbfood.com,matcha-cafe,Berlin,DE,@kerbberlin,kerbberlin.de,,events lead
Just Matcha Cafe & Bar,,matcha-cafe,Berlin,DE,@justmatcha_studio,justmatcha.de,,owner
Green Tea Café MAMECHA,,matcha-cafe,Berlin,DE,@mamecha_official,mamecha.com,,owner
Soi & Co. Plant-Based Cafe,info@huadou.life,matcha-cafe,Berlin,DE,@huadou.life,huadou.life,,owner
Kai Matcha House,,matcha-cafe,Berlin,DE,@kaimatchahouse,,,owner
The Matcha Lab,,matcha-cafe,London,GB,@thematchalab_,thematchalab.co.uk,,owner
JENKI Matcha (4 London bars),,matcha-cafe,London,GB,@jenkimatcha,jenki.co.uk,,founder
How Matcha (2 London cafés),info@howmatcha.com,matcha-cafe,London,GB,@howmatchaofficial,howmatcha.com,,owner
Matcha Mochi Cafe,,matcha-cafe,London,GB,@mmcafe_london,matchamochicafe.com,,owner
